SubjectN,SubjectID,Age,Edu,Gender,Income,SpeededIP,StrategicIP,Percep,Caution,Discount,senseseek,mindful,emot_cont,impuls,goal_dir,rew_sens,risk_per,eat_cont,ethic_risk,soc_risk,fin_risk,agree,Conservatism,SocialConservatism,EconConservatism,Nationalism,Patriotism,IngroupAttitude,SDO,SJ,Authoritarianism,Dogmatism,IH1,IH2,IH3,IH4,IH_Total,ReligiousAttendance,ReligiousPrayer,ReligionImportance,SECS_Abortion_reversed,SECS_WelfareBen_reversed,SECS_LimitedGovt_Warmth,SECS_MilitaryNationalSecurity_Warmth,SECS_Religion_Warmth,SECS_GunOwnership_Warmth,SECS_TraditionalMarriage_Warmth,SECS_TraditionalValues_Warmth,SECS_FiscalResponsibility_Warmth,SECS_Business_Warmth,SECS_FamilyUnit_Warmth,SECS_Patriotism_Warmth,SECS_ParisAgreement_reversed,SECS_SameSexMarriage_reversed,SECS_Democracy_reversed,SECS_MAGA_Warmth,SECS_RestrictingImmigration_Warmth
98,s149,47,7,0,5,0.230,0.136,0.681,1.602,-0.144,0.848,-2.231,-1.841,1.066,-1.187,-0.971,-1.002,1.221,1.956,0.386,1.349,-1.324,29,20,9,16,12,5,8,20,1,29,20,20,23,24,87,1,1,1,3,1,1,2,3,1,4,2,3,3,4,2,3,3,1,1,1
99,s363,57,3,1,3,0.635,-0.928,1.130,1.807,-0.369,-0.253,0.776,-0.078,-0.759,1.414,0.467,1.078,-0.524,-2.142,1.515,-1.163,1.401,93,63,30,31,35,17,4,14,3,40,22,25,30,22,99,1,2,1,6,1,6,7,6,11,11,11,6,6,11,11,11,6,1,11,11
100,s249,30,5,0,4,-1.677,-0.940,1.161,0.237,0.445,0.706,-0.146,0.645,0.238,-0.659,0.835,1.390,0.958,1.970,-0.435,0.519,-1.387,89,66,23,37,24,24,29,36,9,44,14,20,20,12,66,5,6,4,11,2,3,6,6,1,11,11,9,8,11,10,10,10,3,6,6
101,s214,47,6,0,2,0.725,-0.027,-0.258,0.213,-0.247,0.834,0.039,0.377,-0.019,0.208,-0.204,0.282,-0.217,-0.258,0.973,0.834,-0.414,65,37,28,35,11,5,21,20,2,38,18,20,22,11,71,1,1,1,5,5,4,5,1,6,6,6,8,5,8,6,7,9,4,4,9
102,s227,39,6,0,4,-0.211,1.656,-0.044,-1.835,-2.275,0.384,0.105,1.220,-0.724,1.330,0.047,-0.291,-0.296,-0.663,-0.520,0.078,1.563,128,77,51,46,35,19,27,50,6,33,20,25,29,15,89,4,7,5,11,9,11,11,11,11,11,11,11,9,11,11,10,11,1,11,10
103,s031,33,5,0,5,-0.242,0.883,0.730,-0.611,0.678,0.548,0.591,1.213,0.931,0.223,1.058,-1.327,-0.104,0.311,0.001,0.248,0.616,44,30,14,16,27,14,4,25,6,26,24,20,30,22,96,3,3,2,3,2,2,7,3,3,2,2,4,3,6,7,2,2,2,1,5
104,s350,38,5,1,4,-0.184,-1.167,1.093,-1.565,0.332,-0.946,-0.123,-0.914,-0.038,0.868,0.233,0.177,1.245,0.004,0.253,1.422,1.004,84,52,32,35,20,16,19,30,3,42,16,16,23,15,70,3,5,4,4,3,7,3,8,4,9,10,9,9,10,8,5,9,4,3,5
105,s190,32,5,0,3,1.187,-0.399,-2.302,0.777,-1.296,0.106,0.367,-0.935,-1.405,1.313,-1.720,0.005,-0.283,-0.792,-0.776,-0.279,0.802,74,46,28,23,16,10,4,39,1,16,20,22,30,26,98,2,1,1,3,3,3,7,4,2,9,7,10,10,10,6,9,3,3,4,2
106,s445,31,5,0,2,0.968,1.545,0.846,-1.082,-1.456,-0.219,-1.141,0.101,-0.185,-0.154,0.184,-1.148,-0.295,0.693,-0.416,0.290,1.372,96,55,41,33,25,5,5,27,8,17,25,25,30,26,106,3,6,4,5,7,9,8,8,10,9,8,9,6,9,8,7,2,2,8,9
107,s201,50,5,1,3,0.604,-0.257,0.807,0.667,-0.498,0.596,1.124,1.419,-1.208,0.133,0.720,0.839,0.129,-1.446,0.908,-0.531,0.333,80,46,34,17,29,7,5,24,2,31,21,21,29,19,90,1,1,1,8,5,7,5,1,4,5,7,8,10,11,9,1,7,3,2,7
